ID,Experience/Team_Size,Technical_Skills,Programming_Languages,Field,Role,Project_Description,Availability/Project_Duration,Communication_Tools,Work_Preference,Certifications,Languages,Industry
A0000,3,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Data Science,Backend Developer,E-commerce platform,Short-Term,Microsoft Teams,Waterfall,None,Spanish,Education
A0001,7,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",Web Development,Data Scientist,Cloud infrastructure,Mid-Term,Microsoft Teams,Agile,AWS Certified,Korean,Education
A0002,2,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",DevOps,Backend Developer,Open Source Contribution,Short-Term,Zoom,Agile,PMP,Spanish,Technology
A0003,14,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development,Data Scientist,E-commerce platform,Freelancer,Slack,Waterfall,AWS Certified,Chinese,Healthcare
A0004,11,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,Data Scientist,Open Source Contribution,Full-Time,Zoom,Waterfall,PMP,English,Healthcare
A0005,11,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,DevOps,Cloud infrastructure,Part-Time,Slack,Agile,PMP,Chinese,Healthcare
A0006,12,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",DevOps,Backend Developer,Company Project,Part-Time,Zoom,Agile,PMP,Chinese,Finance
A0007,1,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development,Frontend Developer,E-commerce platform,Short-Term,Slack,Agile,None,English,Healthcare
A0008,15,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development,Backend Developer,Mobile app,Freelancer,Slack,Agile,AWS Certified,Chinese,Finance
A0009,4,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Web Development,Data Engineer,E-commerce platform,Part-Time,Zoom,Waterfall,PMP,Chinese,Healthcare
A0010,1,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,Data Engineer,Mobile app,Mid-Term,Zoom,Waterfall,PMP,Spanish,Finance
A0011,3,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",DevOps,Data Engineer,Mobile app,Long-Term,Microsoft Teams,Waterfall,AWS Certified,Spanish,Finance
A0012,5,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Data Science,Frontend Developer,E-commerce platform,Part-Time,Zoom,Waterfall,None,English,Healthcare
A0013,11,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development,Data Engineer,Open Source Contribution,Freelancer,Slack,Agile,PMP,English,Education
A0014,5,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Data Science,Frontend Developer,Company Project,Part-Time,Zoom,Waterfall,None,Korean,Finance
